Year,Date,Day_of_the_week,Bank holiday,Country
2023,02-Jan,Monday,New Year’s Day (substitute day),England & Wales
2023,07-Apr,Friday,Good Friday,England & Wales
2023,10-Apr,Monday,Easter Monday,England & Wales
2023,01-May,Monday,Early May bank holiday,England & Wales
2023,08-May,Monday,Bank holiday for the coronation of King Charles III,England & Wales
2023,29-May,Monday,Spring bank holiday,England & Wales
2023,28-Aug,Monday,Summer bank holiday,England & Wales
2023,25-Dec,Monday,Christmas Day,England & Wales
2023,26-Dec,Tuesday,Boxing Day,England & Wales
2024,01-Jan,Monday,New Year’s Day,England & Wales
2024,29-Mar,Friday,Good Friday,England & Wales
2024,01-Apr,Monday,Easter Monday,England & Wales
2024,06-May,Monday,Early May bank holiday,England & Wales
2024,27-May,Monday,Spring bank holiday,England & Wales
2024,26-Aug,Monday,Summer bank holiday,England & Wales
2024,25-Dec,Wednesday,Christmas Day,England & Wales
2024,26-Dec,Thursday,Boxing Day,England & Wales
2025,01-Jan,Wednesday,New Year’s Day,England & Wales
2025,18-Apr,Friday,Good Friday,England & Wales
2025,21-Apr,Monday,Easter Monday,England & Wales
2025,05-May,Monday,Early May bank holiday,England & Wales
2025,26-May,Monday,Spring bank holiday,England & Wales
2025,25-Aug,Monday,Summer bank holiday,England & Wales
2025,25-Dec,Thursday,Christmas Day,England & Wales
2025,26-Dec,Friday,Boxing Day,England & Wales
2023,02-Jan,Monday,New Year’s Day (substitute day),Scotland
2023,03-Jan,Tuesday,2nd January (substitute day),Scotland
2023,07-Apr,Friday,Good Friday,Scotland
2023,01-May,Monday,Early May bank holiday,Scotland
2023,08-May,Monday,Bank holiday for the coronation of King Charles III,Scotland
2023,29-May,Monday,Spring bank holiday,Scotland
2023,07-Aug,Monday,Summer bank holiday,Scotland
2023,30-Nov,Thursday,St Andrew’s Day,Scotland
2023,25-Dec,Monday,Christmas Day,Scotland
2023,26-Dec,Tuesday,Boxing Day,Scotland
2024,01-Jan,Monday,New Year’s Day,Scotland
2024,02-Jan,Tuesday,2nd January,Scotland
2024,29-Mar,Friday,Good Friday,Scotland
2024,06-May,Monday,Early May bank holiday,Scotland
2024,27-May,Monday,Spring bank holiday,Scotland
2024,05-Aug,Monday,Summer bank holiday,Scotland
2024,02-Dec,Monday,St Andrew’s Day (substitute day),Scotland
2024,25-Dec,Wednesday,Christmas Day,Scotland
2024,26-Dec,Thursday,Boxing Day,Scotland
2025,01-Jan,Wednesday,New Year’s Day,Scotland
2025,02-Jan,Thursday,2nd January,Scotland
2025,18-Apr,Friday,Good Friday,Scotland
2025,05-May,Monday,Early May bank holiday,Scotland
2025,26-May,Monday,Spring bank holiday,Scotland
2025,04-Aug,Monday,Summer bank holiday,Scotland
2025,01-Dec,Monday,St Andrew’s Day (substitute day),Scotland
2025,25-Dec,Thursday,Christmas Day,Scotland
2025,26-Dec,Friday,Boxing Day,Scotland
2023,02-Jan,Monday,New Year’s Day (substitute day),Northern Ireland
2023,17-Mar,Friday,St Patrick’s Day,Northern Ireland
2023,07-Apr,Friday,Good Friday,Northern Ireland
2023,10-Apr,Monday,Easter Monday,Northern Ireland
2023,01-May,Monday,Early May bank holiday,Northern Ireland
2023,08-May,Monday,Bank holiday for the coronation of King Charles III,Northern Ireland
2023,29-May,Monday,Spring bank holiday,Northern Ireland
2023,12-Jul,Wednesday,Battle of the Boyne (Orangemen’s Day),Northern Ireland
2023,28-Aug,Monday,Summer bank holiday,Northern Ireland
2023,25-Dec,Monday,Christmas Day,Northern Ireland
2023,26-Dec,Tuesday,Boxing Day,Northern Ireland
2024,01-Jan,Monday,New Year’s Day,Northern Ireland
2024,18-Mar,Monday,St Patrick’s Day (substitute day),Northern Ireland
2024,29-Mar,Friday,Good Friday,Northern Ireland
2024,01-Apr,Monday,Easter Monday,Northern Ireland
2024,06-May,Monday,Early May bank holiday,Northern Ireland
2024,27-May,Monday,Spring bank holiday,Northern Ireland
2024,12-Jul,Friday,Battle of the Boyne (Orangemen’s Day),Northern Ireland
2024,26-Aug,Monday,Summer bank holiday,Northern Ireland
2024,25-Dec,Wednesday,Christmas Day,Northern Ireland
2024,26-Dec,Thursday,Boxing Day,Northern Ireland
2025,01-Jan,Wednesday,New Year’s Day,Northern Ireland
2025,17-Mar,Monday,St Patrick’s Day,Northern Ireland
2025,18-Apr,Friday,Good Friday,Northern Ireland
2025,21-Apr,Monday,Easter Monday,Northern Ireland
2025,05-May,Monday,Early May bank holiday,Northern Ireland
2025,26-May,Monday,Spring bank holiday,Northern Ireland
2025,14-Jul,Monday,Battle of the Boyne (Orangemen’s Day) (substitute day),Northern Ireland
2025,25-Aug,Monday,Summer bank holiday,Northern Ireland
2025,25-Dec,Thursday,Christmas Day,Northern Ireland
2025,26-Dec,Friday,Boxing Day,Northern Ireland
2023,01-Jan,Sun,New Year's Day,Ireland
2023,06-Feb,Mon,St Brigid’s Day,Ireland
2023,17-Mar,Fri,Saint Patrick's Day,Ireland
2023,10-Apr,Mon,Easter Monday,Ireland
2023,01-May,Mon,May Day,Ireland
2023,05-Jun,Mon,June Bank Holiday,Ireland
2023,07-Aug,Mon,August Bank Holiday,Ireland
2023,30-Oct,Mon,October Bank Holiday,Ireland
2023,25-Dec,Mon,Christmas Day,Ireland
2023,26-Dec,Tue,St Stephen's Day,Ireland
2024,01-Jan,Mon,New Year's Day,Ireland
2024,05-Feb,Mon,St Brigid’s Day,Ireland
2024,17-Mar,Sun,Saint Patrick's Day,Ireland
2024,01-Apr,Mon,Easter Monday,Ireland
2024,06-May,Mon,May Day,Ireland
2024,03-Jun,Mon,June Bank Holiday,Ireland
2024,05-Aug,Mon,August Bank Holiday,Ireland
2024,28-Oct,Mon,October Bank Holiday,Ireland
2024,25-Dec,Wed,Christmas Day,Ireland
2024,26-Dec,Thu,St Stephen's Day,Ireland
2025,01-Jan,Wed,New Year's Day,Ireland
2025,03-Feb,Mon,St Brigid’s Day,Ireland
2025,17-Mar,Mon,Saint Patrick's Day,Ireland
2025,21-Apr,Mon,Easter Monday,Ireland
2025,05-May,Mon,May Day,Ireland
2025,02-Jun,Mon,June Bank Holiday,Ireland
2025,04-Aug,Mon,August Bank Holiday,Ireland
2025,27-Oct,Mon,October Bank Holiday,Ireland
2025,25-Dec,Thu,Christmas Day,Ireland
2025,26-Dec,Fri,St Stephen's Day,Ireland